number of inputs, runtime (in ms)
221001, 412.7340000000004
221501, 468.2669999999973
222001, 456.25000000001137
222501, 475.1139999999907
223001, 412.40700000000174
223501, 435.5160000000069
224001, 474.64399999999785
224501, 413.85200000000566
225001, 410.2979999999974
225501, 438.89899999999216
226001, 413.7750000000011
226501, 415.57400000000655
227001, 407.7180000000027
227501, 416.4949999999976
228001, 430.6940000000026
228501, 419.4049999999976
229001, 418.1820000000016
229501, 433.983000000012
230001, 437.45800000000656
230501, 442.12000000000273
231001, 429.2039999999986
231501, 451.3689999999997
232001, 429.0979999999962
232501, 444.94399999999246
233001, 440.03899999999874
233501, 465.5429999999967
234001, 447.66799999999307
234501, 434.07200000000046
235001, 422.30199999998774
235501, 402.38899999999944
236001, 443.9840000000004
236501, 433.25800000000925
237001, 461.12200000000314
237501, 438.0390000000034
238001, 448.18100000000527
238501, 471.68800000000033
239001, 439.33700000000897
239501, 449.419000000006
240001, 444.4209999999913
240501, 465.79099999999585
241001, 448.284000000001
241501, 476.8889999999999
242001, 495.36300000001177
242501, 537.1969999999919
243001, 476.30900000000054
243501, 449.1819999999933
244001, 497.1170000000029
244501, 453.519
245001, 451.44599999999
245501, 458.005
246001, 469.94300000000067
246501, 498.6150000000009
247001, 469.45700000000556
247501, 450.44099999999787
248001, 447.45500000000504
248501, 446.8619999999959
249001, 449.042999999989
249501, 459.51900000000023
250001, 452.37399999999184
250501, 457.6449999999994
251001, 471.6540000000009
251501, 502.822000000009
252001, 475.009
252501, 525.297000000009
253001, 461.59799999999507
253501, 461.97100000000546
254001, 463.71900000001176
254501, 459.7359999999924
255001, 459.9860000000007
255501, 470.03500000001
256001, 467.9360000000088
256501, 474.2030000000028
257001, 448.7220000000036
257501, 485.6939999999952
258001, 513.9029999999991
258501, 500.2420000000001
259001, 474.14799999999957
259501, 503.97900000000107
260001, 504.4910000000016
260501, 482.13499999999954
261001, 474.12199999999416
261501, 481.00900000000024
262001, 521.5649999999812
262501, 523.7690000000157
263001, 497.38300000001345
263501, 480.92600000001084
264001, 476.5920000000108
264501, 509.7900000000095
265001, 516.0370000000114
265501, 511.8190000000027
266001, 483.53099999999927
266501, 520.2559999999892
267001, 523.9679999999964
267501, 479.11199999998644
268001, 484.89000000000715
268501, 556.9340000000125
269001, 522.6380000000006
269501, 498.84199999999623
270001, 498.33699999999226
270501, 529.5600000000036
271001, 527.4249999999938
271501, 494.7129999999902
272001, 506.4390000000003
272501, 529.0030000000172
273001, 499.04700000001867
273501, 492.9570000000183
274001, 503.96200000000135
274501, 505.37700000000996
275001, 519.8149999999941
275501, 506.27099999999814
276001, 568.6249999999973
276501, 558.1770000000006
277001, 519.014999999996
277501, 482.48000000000957
278001, 512.5779999999907
278501, 562.7770000000112
279001, 507.19499999999584
279501, 508.0899999999815
280001, 499.0800000000206
280501, 517.8099999999972
281001, 513.2530000000202
281501, 515.8100000000161
282001, 514.1969999999958
282501, 557.6219999999807
283001, 533.1090000000245
283501, 529.2560000000037
284001, 549.0210000000104
284501, 529.0780000000268
285001, 570.3550000000064
285501, 539.0820000000076
286001, 546.8160000000069
286501, 573.7719999999911
287001, 558.5680000000082
287501, 538.9439999999865
288001, 521.4440000000025
288501, 544.4740000000081
289001, 550.1449999999863
289501, 547.8269999999839
290001, 558.0109999999934
290501, 544.366999999994
291001, 571.8209999999999
291501, 545.4269999999894
292001, 564.976999999999
292501, 548.9439999999774
293001, 531.125000000003
293501, 577.8020000000197
294001, 569.1889999999944
294501, 571.9399999999837
295001, 532.999000000018
295501, 537.3690000000124
296001, 521.0870000000227
296501, 535.7550000000231
297001, 536.2479999999721
297501, 540.5439999999828
298001, 542.131999999981
298501, 543.7920000000247
299001, 539.5320000000083
299501, 546.7380000000048
300001, 614.7799999999961
300501, 582.3039999999935
301001, 578.5889999999938
301501, 623.108000000002
302001, 591.8939999999964
302501, 548.862999999983
303001, 564.532000000014
303501, 563.8460000000123
304001, 553.9389999999855
304501, 550.7800000000032
305001, 539.9400000000014
305501, 556.0839999999985
306001, 551.7049999999983
306501, 558.9409999999759
307001, 557.9960000000028
307501, 569.3530000000067
308001, 577.4910000000091
308501, 565.6399999999735
309001, 576.4159999999947
309501, 568.0990000000179
310001, 584.5809999999858
310501, 566.7819999999892
311001, 596.2309999999889
311501, 570.2629999999829
312001, 566.5649999999971
